id;uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;ID cidade;distancia_txt;dist_value;duracao_txt;duracao_value;status
16773;SP;BARRETOS;RIBEIRÃO PRETO;SP 3505500;ITAPETININGA;SP;SP 3505500/ITAPETININGA;437 km;437292;5 horas 10 minutos;18623;OK
16774;SP;BARRINHA;RIBEIRÃO PRETO;SP 3505609;ITAPETININGA;SP;SP 3505609/ITAPETININGA;347 km;346586;4 horas 15 minutos;15291;OK
16775;SP;BARUERI;METROP. DE SÃO PAULO;SP 3505708;ITAPETININGA;SP;SP 3505708/ITAPETININGA;156 km;156458;1 hora 57 minutos;7040;OK
16776;SP;BASTOS;MARÍLIA;SP 3505807;ITAPETININGA;SP;SP 3505807/ITAPETININGA;408 km;407573;5 horas 19 minutos;19158;OK
16777;SP;BATATAIS;RIBEIRÃO PRETO;SP 3505906;ITAPETININGA;SP;SP 3505906/ITAPETININGA;390 km;389724;4 horas 43 minutos;16991;OK
16778;SP;BAURU;BAURU;SP 3506003;ITAPETININGA;SP;SP 3506003/ITAPETININGA;236 km;236302;3 horas 3 minutos;10989;OK
16779;SP;BEBEDOURO;RIBEIRÃO PRETO;SP 3506102;ITAPETININGA;SP;SP 3506102/ITAPETININGA;390 km;389962;4 horas 42 minutos;16898;OK
16780;SP;BENTO DE ABREU;ARAÇATUBA;SP 3506201;ITAPETININGA;SP;SP 3506201/ITAPETININGA;481 km;481422;5 horas 47 minutos;20848;OK
16781;SP;BERNARDINO DE CAMPOS;ASSIS;SP 3506300;ITAPETININGA;SP;SP 3506300/ITAPETININGA;189 km;188563;2 horas 40 minutos;9608;OK
16782;SP;BERTIOGA;BAIXADA SANTISTA;SP 3506359;ITAPETININGA;SP;SP 3506359/ITAPETININGA;310 km;309686;3 horas 58 minutos;14300;OK
16783;SP;BILAC;ARAÇATUBA;SP 3506409;ITAPETININGA;SP;SP 3506409/ITAPETININGA;429 km;429355;5 horas 4 minutos;18221;OK
16784;SP;BIRIGUI;ARAÇATUBA;SP 3506508;ITAPETININGA;SP;SP 3506508/ITAPETININGA;413 km;412566;4 horas 55 minutos;17722;OK
16785;SP;BIRITIBA-MIRIM;METROP. DE SÃO PAULO;SP 3506607;ITAPETININGA;SP;SP 3506607/ITAPETININGA;259 km;258716;3 horas 30 minutos;12585;OK
16786;SP;BOA ESPERANÇA DO SUL;ARARAQUARA;SP 3506706;ITAPETININGA;SP;SP 3506706/ITAPETININGA;258 km;257675;3 horas 24 minutos;12255;OK
16787;SP;BOCAINA;BAURU;SP 3506805;ITAPETININGA;SP;SP 3506805/ITAPETININGA;246 km;246169;3 horas 23 minutos;12176;OK
16788;SP;BOFETE;BAURU;SP 3506904;ITAPETININGA;SP;SP 3506904/ITAPETININGA;97,1 km;97076;1 hora 38 minutos;5866;OK
16789;SP;BOITUVA;ITAPETININGA;SP 3507001;ITAPETININGA;SP;SP 3507001/ITAPETININGA;79,6 km;79563;1 hora 4 minutos;3846;OK
16790;SP;BOM JESUS DOS PERDÕES;MACRO MET. PAULISTA;SP 3507100;ITAPETININGA;SP;SP 3507100/ITAPETININGA;246 km;245738;3 horas 1 minuto;10833;OK
16791;SP;BOM SUCESSO DE ITARARÉ;ITAPETININGA;SP 3507159;ITAPETININGA;SP;SP 3507159/ITAPETININGA;180 km;180064;2 horas 28 minutos;8857;OK
16792;SP;BORÁ;ASSIS;SP 3507209;ITAPETININGA;SP;SP 3507209/ITAPETININGA;350 km;349591;4 horas 51 minutos;17433;OK
16793;SP;BORACÉIA;BAURU;SP 3507308;ITAPETININGA;SP;SP 3507308/ITAPETININGA;249 km;248740;3 horas 13 minutos;11609;OK
16794;SP;BORBOREMA;ARARAQUARA;SP 3507407;ITAPETININGA;SP;SP 3507407/ITAPETININGA;321 km;320772;4 horas 2 minutos;14491;OK
16795;SP;BOREBI;BAURU;SP 3507456;ITAPETININGA;SP;SP 3507456/ITAPETININGA;228 km;228125;3 horas 24 minutos;12263;OK
16796;SP;BOTUCATU;BAURU;SP 3507506;ITAPETININGA;SP;SP 3507506/ITAPETININGA;143 km;142984;2 horas 3 minutos;7386;OK
16797;SP;BRAGANÇA PAULISTA;MACRO MET. PAULISTA;SP 3507605;ITAPETININGA;SP;SP 3507605/ITAPETININGA;238 km;238265;3 horas 2 minutos;10937;OK
