uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AL;BARRA DE SANTO ANTÔNIO;ALAGOAS;AL 2700508;BELA VISTA DE GOIÁS;GO;2.204 km;2204472;1 dia 5 horas;103235;OK
AL;BARRA DE SÃO MIGUEL;ALAGOAS;AL 2700607;BELA VISTA DE GOIÁS;GO;2.103 km;2103070;1 dia 3 horas;97537;OK
AL;COQUEIRO SECO;ALAGOAS;AL 2702207;BELA VISTA DE GOIÁS;GO;2.138 km;2137687;1 dia 4 horas;99850;OK
AL;MACEIÓ;ALAGOAS;AL 2704302;BELA VISTA DE GOIÁS;GO;2.142 km;2141724;1 dia 4 horas;100182;OK
AL;MARECHAL DEODORO;ALAGOAS;AL 2704708;BELA VISTA DE GOIÁS;GO;2.124 km;2123807;1 dia 4 horas;99339;OK
AL;PARIPUEIRA;ALAGOAS;AL 2706448;BELA VISTA DE GOIÁS;GO;2.170 km;2170182;1 dia 5 horas;102741;OK
AL;PILAR;ALAGOAS;AL 2706901;BELA VISTA DE GOIÁS;GO;2.117 km;2117005;1 dia 3 horas;98704;OK
AL;RIO LARGO;ALAGOAS;AL 2707701;BELA VISTA DE GOIÁS;GO;2.140 km;2140352;1 dia 4 horas;100219;OK
AL;SANTA LUZIA DO NORTE;ALAGOAS;AL 2707909;BELA VISTA DE GOIÁS;GO;2.131 km;2131115;1 dia 4 horas;99747;OK
AL;SATUBA;ALAGOAS;AL 2708907;BELA VISTA DE GOIÁS;GO;2.131 km;2131459;1 dia 4 horas;99452;OK
AL;ANADIA;ALAGOAS;AL 2700201;BELA VISTA DE GOIÁS;GO;2.098 km;2097992;1 dia 3 horas;97884;OK
AL;BOCA DA MATA;ALAGOAS;AL 2701001;BELA VISTA DE GOIÁS;GO;2.120 km;2120058;1 dia 3 horas;98602;OK
AL;CAMPO ALEGRE;ALAGOAS;AL 2701407;BELA VISTA DE GOIÁS;GO;2.066 km;2066261;1 dia 3 horas;95560;OK
AL;CORURIPE;ALAGOAS;AL 2702306;BELA VISTA DE GOIÁS;GO;2.073 km;2073179;1 dia 3 horas;96873;OK
