uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
SP;CORUMBATAÍ;PIRACICABA;SP 3512704;ITAPETININGA;SP;;;;
SP;COSMÓPOLIS;CAMPINAS;SP 3512803;ITAPETININGA;SP;;;;
SP;COSMORAMA;SÃO J. DO RIO PRETO;SP 3512902;ITAPETININGA;SP;;;;
SP;COTIA;METROP. DE SÃO PAULO;SP 3513009;ITAPETININGA;SP;;;;
SP;CRAVINHOS;RIBEIRÃO PRETO;SP 3513108;ITAPETININGA;SP;;;;
SP;CRISTAIS PAULISTA;RIBEIRÃO PRETO;SP 3513207;ITAPETININGA;SP;;;;
SP;CRUZÁLIA;ASSIS;SP 3513306;ITAPETININGA;SP;;;;
SP;CRUZEIRO;VALE DO PARAÍBA;SP 3513405;ITAPETININGA;SP;;;;
SP;CUBATÃO;BAIXADA SANTISTA;SP 3513504;ITAPETININGA;SP;;;;
SP;CUNHA;VALE DO PARAÍBA;SP 3513603;ITAPETININGA;SP;;;;
SP;DESCALVADO;ARARAQUARA;SP 3513702;ITAPETININGA;SP;;;;
SP;DIADEMA;METROP. DE SÃO PAULO;SP 3513801;ITAPETININGA;SP;;;;
SP;DIRCE REIS;SÃO J. DO RIO PRETO;SP 3513850;ITAPETININGA;SP;;;;
SP;DIVINOLÂNDIA;CAMPINAS;SP 3513900;ITAPETININGA;SP;;;;
SP;DOBRADA;ARARAQUARA;SP 3514007;ITAPETININGA;SP;;;;
SP;DOIS CÓRREGOS;BAURU;SP 3514106;ITAPETININGA;SP;;;;
SP;DOLCINÓPOLIS;SÃO J. DO RIO PRETO;SP 3514205;ITAPETININGA;SP;;;;
SP;DOURADO;ARARAQUARA;SP 3514304;ITAPETININGA;SP;;;;
SP;DRACENA;PRESIDENTE PRUDENTE;SP 3514403;ITAPETININGA;SP;;;;
SP;DUARTINA;BAURU;SP 3514502;ITAPETININGA;SP;;;;
SP;DUMONT;RIBEIRÃO PRETO;SP 3514601;ITAPETININGA;SP;;;;
SP;ECHAPORÃ;MARÍLIA;SP 3514700;ITAPETININGA;SP;;;;
SP;ELDORADO;LITORAL SUL PAULISTA;SP 3514809;ITAPETININGA;SP;;;;
SP;ELIAS FAUSTO;CAMPINAS;SP 3514908;ITAPETININGA;SP;;;;
SP;ELISIÁRIO;SÃO J. DO RIO PRETO;SP 3514924;ITAPETININGA;SP;;;;
SP;EMBAÚBA;SÃO J. DO RIO PRETO;SP 3514957;ITAPETININGA;SP;;;;
SP;EMBU DAS ARTES;METROP. DE SÃO PAULO;SP 3515004;ITAPETININGA;SP;;;;
SP;EMBU-GUAÇU;METROP. DE SÃO PAULO;SP 3515103;ITAPETININGA;SP;;;;
SP;EMILIANÓPOLIS;PRESIDENTE PRUDENTE;SP 3515129;ITAPETININGA;SP;;;;
SP;ENGENHEIRO COELHO;CAMPINAS;SP 3515152;ITAPETININGA;SP;;;;
SP;ESPÍRITO SANTO DO PINHAL;CAMPINAS;SP 3515186;ITAPETININGA;SP;;;;
SP;ESPÍRITO SANTO DO TURVO;ASSIS;SP 3515194;ITAPETININGA;SP;;;;
SP;ESTIVA GERBI;CAMPINAS;SP 3557303;ITAPETININGA;SP;;;;
SP;ESTRELA DO NORTE;PRESIDENTE PRUDENTE;SP 3515301;ITAPETININGA;SP;;;;
SP;ESTRELA D'OESTE;SÃO J. DO RIO PRETO;SP 3515202;ITAPETININGA;SP;;;;
SP;EUCLIDES DA CUNHA PAULISTA;PRESIDENTE PRUDENTE;SP 3515350;ITAPETININGA;SP;;;;
SP;FARTURA;ASSIS;SP 3515400;ITAPETININGA;SP;;;;
SP;FERNANDO PRESTES;RIBEIRÃO PRETO;SP 3515608;ITAPETININGA;SP;;;;
SP;FERNANDÓPOLIS;SÃO J. DO RIO PRETO;SP 3515509;ITAPETININGA;SP;;;;
SP;FERNÃO;MARÍLIA;SP 3515657;ITAPETININGA;SP;;;;
SP;FERRAZ DE VASCONCELOS;METROP. DE SÃO PAULO;SP 3515707;ITAPETININGA;SP;;;;
SP;FLORA RICA;PRESIDENTE PRUDENTE;SP 3515806;ITAPETININGA;SP;;;;
SP;FLOREAL;SÃO J. DO RIO PRETO;SP 3515905;ITAPETININGA;SP;;;;
SP;FLÓRIDA PAULISTA;PRESIDENTE PRUDENTE;SP 3516002;ITAPETININGA;SP;;;;
SP;FLORÍNIA;ASSIS;SP 3516101;ITAPETININGA;SP;;;;
SP;FRANCA;RIBEIRÃO PRETO;SP 3516200;ITAPETININGA;SP;;;;
SP;FRANCISCO MORATO;METROP. DE SÃO PAULO;SP 3516309;ITAPETININGA;SP;;;;
SP;FRANCO DA ROCHA;METROP. DE SÃO PAULO;SP 3516408;ITAPETININGA;SP;;;;
SP;GABRIEL MONTEIRO;ARAÇATUBA;SP 3516507;ITAPETININGA;SP;;;;
SP;GÁLIA;MARÍLIA;SP 3516606;ITAPETININGA;SP;;;;
